t,x,y,z,stroke_id,force_n,requested_down,color,color_name
3.7799999999998053,0.1600265438912577,-0.00829899505438522,0.21826712187109587,1,0.0038801847340862207,True,0,gold
3.799999999999803,0.16004263517728312,-0.008173503278144806,0.21802347172451803,1,0.0071655897162802105,True,0,gold
3.819999999999801,0.16006000329968642,-0.008019129062209817,0.21788280458680484,1,0.008549914637193021,True,0,gold
3.8399999999997987,0.1600775698203286,-0.007850638981808279,0.2178380248498048,1,0.008985142525339123,True,0,gold
3.8599999999997965,0.16008505084169883,-0.007673381661715514,0.2178715712520801,1,0.008699210333201719,True,0,gold
3.8799999999997943,0.16008232730415156,-0.007490945217685811,0.21796225860638463,1,0.007797682655948568,True,0,gold
3.899999999999792,0.16007299031031225,-0.007307210196173563,0.2180796179833556,1,0.0065063565773709675,True,0,gold
3.91999999999979,0.1600603290769902,-0.007124337888427421,0.21819436667995526,1,0.005440361968719062,True,0,gold
3.9399999999997877,0.1600560243030566,-0.0069392614250667435,0.21829899237854186,1,0.005519784496821368,True,0,gold
3.9599999999997855,0.16005565244161263,-0.006755351998806373,0.21833700599866207,1,0.005803216279887963,True,0,gold
3.9799999999997833,0.16005410283608823,-0.006589155366347616,0.21835023894282082,1,0.005363143063699305,True,0,gold
3.999999999999781,0.1600501403299272,-0.006428795697832118,0.21836555388714007,1,0.0047542962847304535,True,0,gold
4.019999999999779,0.16004870725088527,-0.006260483930214426,0.2183763709230538,1,0.004955939525939092,True,0,gold
4.039999999999777,0.1600478695913337,-0.006098023302338255,0.2183527674821969,1,0.00502457585907548,True,0,gold
4.059999999999775,0.16004569693184495,-0.005931908402066862,0.2183093083435259,1,0.004691206661706397,True,0,gold
4.079999999999773,0.16004653905039543,-0.0057633051146986905,0.21827274078318473,1,0.005183370756918507,True,0,gold
4.0999999999997705,0.16004783433625713,-0.005597744308163418,0.21823534638651182,1,0.005124501999559084,True,0,gold
4.119999999999768,0.16004842552847592,-0.005425120627597144,0.21820944346210353,1,0.005213460344439946,True,0,gold
4.139999999999766,0.16004861150483868,-0.005259964032980144,0.21819693949084626,1,0.005128414341390923,True,0,gold
4.159999999999764,0.16004854724708834,-0.005094362473202485,0.21819124725377526,1,0.005350278844729303,True,0,gold
4.179999999999762,0.16004921434163333,-0.004925659464807088,0.21818501633049234,1,0.0051813448183467906,True,0,gold
4.1999999999997595,0.1600496326752305,-0.004753430419106363,0.2181761151233861,1,0.005213624442157943,True,0,gold
4.219999999999757,0.16005083769865694,-0.004590344579650772,0.21816827403259317,1,0.005379118637909705,True,0,gold
4.239999999999755,0.16005214679243976,-0.004422370363886452,0.21815788166451452,1,0.005578889519252225,True,0,gold
4.259999999999753,0.16005228302554217,-0.0042555470886240674,0.2181442236884072,1,0.005392324099288297,True,0,gold
