step,elapsed_s,reward,cumulative_reward,terminated,truncated,tilt_deg,root_ball_offset_m,foot_ball_contacts,ball_speed_mps,action_abs_mean,action_abs_max
1,0.02,0.11544179441537857,0.11544179441537857,False,False,0.7566638769947204,0.0033329697239652444,0,2.4947809126812535e-19,0.3066624701023102,1.0200133323669434
2,0.04,0.11791695373250576,0.23335874814788432,False,False,1.2083656064222525,0.0025058958404848538,0,1.2698872923426954e-13,0.32616376876831055,1.5403552055358887
3,0.06,0.11644179421224694,0.34980054236013125,False,False,1.5880689331989022,0.00150649909884451,2,0.01693436905059855,0.32927829027175903,1.7275437116622925
4,0.08,0.11063188589058703,0.4604324282507183,False,False,1.4891148363520967,0.0008631204662631071,2,0.00931025244375894,0.37136054039001465,1.9411735534667969
5,0.1,0.10763030227243367,0.5680627305231519,False,False,1.3492970502644734,0.0008994053193638872,2,0.020617471198085408,0.3576204180717468,2.03932785987854
6,0.12,0.106919741176049,0.6749824716992009,False,False,1.6070558964322763,0.0012459402416831547,2,0.04834223075211311,0.36988595128059387,2.057598114013672
7,0.14,0.105196200271717,0.7801786719709178,False,False,2.34993710713421,0.0018551092570228466,2,0.05336622397621109,0.3529241681098938,2.1208810806274414
8,0.16,0.1140630473393606,0.8942417193102784,False,False,3.14441791224528,0.0025740771919172214,2,0.03649303151725098,0.4428490102291107,2.2499310970306396
9,0.18,0.11588080205812198,1.0101225213684004,False,False,3.5205321747581246,0.0032554656313652807,1,0.014846910248224028,0.40861281752586365,2.490687847137451
10,0.2,0.11660341606114184,1.1267259374295422,False,False,3.3231924808235322,0.003931660819838788,1,0.0064690463337586665,0.3878878951072693,2.618839979171753
11,0.22,0.11640258499508091,1.2431285224246231,False,False,2.8217491185278067,0.004242914021493963,2,0.03221598626188852,0.3546392023563385,2.6570932865142822
12,0.24,0.11686800235722107,1.3599965247818442,False,False,2.490021842851935,0.004181585279060053,2,0.024977732479313567,0.36317458748817444,2.5653367042541504
13,0.26,0.11485542991506505,1.4748519546969092,False,False,2.337075327017722,0.004179055755842639,2,0.019119119567014974,0.37580937147140503,2.4797072410583496
14,0.28,0.10978411281470983,1.5846360675116191,False,False,2.3496039250363356,0.004124549185502784,2,0.022141531550839033,0.37976548075675964,2.5082175731658936
15,0.3,0.10808470589424814,1.6927207734058674,False,False,2.4066399442889588,0.004102010876874943,2,0.02393146281184209,0.3767113983631134,2.533390760421753
16,0.32,0.10817334074473063,1.800894114150598,False,False,2.344016088640296,0.004134551722719461,2,0.0315465451619189,0.39644289016723633,2.505232334136963
17,0.34,0.10954897851035979,1.910443092660958,False,False,1.9759567056945115,0.004193655417372894,2,0.05129039269001031,0.4045903980731964,2.44238018989563
18,0.36,0.11685573325688177,2.0272988259178395,False,False,1.458844543225079,0.004269354115631769,2,0.0607183566879635,0.3755171298980713,2.4107186794281006
