run_id,update,env_steps,loss,policy_loss,value_loss,approx_kl,entropy,gradient_norm,epochs_completed,kl_early_stop,reward,reward_status
local,1,1024,1.660375714302063,-7.636845111846924e-08,1.368109107017517,0.08338357508182526,-29.226669311523438,93.35771942138672,1,1.0,,not_recorded_in_source_summary
local,2,2048,1.7532641887664795,1.0058283805847168e-07,1.4610000848770142,0.025451619178056717,-29.226402282714844,210.25669860839844,1,1.0,,not_recorded_in_source_summary
local,3,3072,1.7322732210159302,2.60770320892334e-08,1.4400113821029663,0.054873354732990265,-29.226181030273438,98.5040054321289,1,1.0,,not_recorded_in_source_summary
local,4,4096,1.5799214839935303,-0.015399234369397163,1.3030688762664795,0.022633686661720276,-29.225187301635742,45.8088493347168,3,1.0,,not_recorded_in_source_summary
local,5,5120,1.6625226736068726,-0.016771314665675163,1.3870625495910645,0.015713490545749664,-29.223140716552734,60.21906280517578,5,0.0,,not_recorded_in_source_summary
local,6,6144,1.7146515846252441,-0.011296529322862625,1.4337375164031982,0.007123621180653572,-29.22105598449707,118.00102996826172,5,0.0,,not_recorded_in_source_summary
local,7,7168,1.7316454648971558,-0.014473548159003258,1.4539227485656738,0.011095788329839706,-29.21962547302246,165.80209350585938,5,0.0,,not_recorded_in_source_summary
local,8,8192,1.4716947078704834,-0.021996065974235535,1.2015018463134766,0.014778192155063152,-29.218881607055664,75.0760269165039,5,0.0,,not_recorded_in_source_summary
local,9,9216,1.7000035047531128,-0.009502483531832695,1.417323350906372,0.018051639199256897,-29.21826934814453,104.90326690673828,5,0.0,,not_recorded_in_source_summary
local,10,10240,1.7172166109085083,-0.010261809453368187,1.4352999925613403,0.005024315789341927,-29.217838287353516,83.99009704589844,5,0.0,,not_recorded_in_source_summary
local,11,11264,1.7249155044555664,-0.009866079315543175,1.442604422569275,0.020155902951955795,-29.21772575378418,187.44454956054688,3,1.0,,not_recorded_in_source_summary
local,12,12288,1.3927286863327026,-0.019865527749061584,1.1204209327697754,0.012326856143772602,-29.217330932617188,67.73421478271484,5,0.0,,not_recorded_in_source_summary
local,13,13312,1.710249423980713,-0.01145077683031559,1.4295318126678467,0.009722864255309105,-29.216838836669922,83.19638061523438,5,0.0,,not_recorded_in_source_summary
local,14,14336,1.7053601741790771,-0.019401995465159416,1.4325993061065674,0.00699906051158905,-29.216293334960938,57.84574508666992,5,0.0,,not_recorded_in_source_summary
local,15,15360,1.696946382522583,-0.008995765820145607,1.4137799739837646,0.016050072386860847,-29.21622085571289,280.6409606933594,5,0.0,,not_recorded_in_source_summary
